county_fips,rate_natural_increase_population
13197,1.1512116503
13199,2.4689632683
13201,0.4968944099
13205,3.0546831304
13207,2.6177513895
13209,3.1255232461
13211,0.7839623698
13213,4.0927347603
13215,8.051015128
13217,5.769612711
13219,3.6538979904
13221,1.7797857412
13223,8.1361151957
13225,2.8082302749
13227,-0.10230179
13229,2.3885984235
13231,-0.843763184
13233,2.6947634192
13235,-0.084968986
13237,2.2183937885
13239,-5.762502573
13241,-1.228463499
13243,-1.882352941
13245,5.8512092665
13247,4.9638249549
13249,1.5891934843
13251,1.329926854
13253,-0.226783082
13255,2.4268994402
13257,-1.515946592
13259,-3.94218134
13261,3.2992930086
13263,-1.33432172
13265,-7.102693104
13267,4.6759268355
13269,1.3094458663
13271,-2.269242564
13273,4.0822903798
13275,2.1544469131
13277,4.530838936
13279,3.0535474496
13281,-8.324268079
13283,3.3791228972
13285,4.0614814106
13287,1.8406672419
13289,3.1071983428
13291,-5.401596994
13293,-0.336561834
13295,0.6120084807
13297,4.705049969
13299,1.8568043566
13301,1.4258978701
13303,3.017313633
13305,3.497541822
13307,3.2555615844
13309,-1.873594804
13311,-0.908644847
13313,6.1592865331
13315,-1.527883881
13317,-1.772089589
13319,-0.317460317
13321,1.2598866102
15000,6.234019782
15001,4.9968105465
15003,6.5634108352
15005,-11.17318436
15007,5.6092970804
15009,5.9589962796
16000,6.5877503826
16001,6.1200507577
16003,1.2675877805
16005,7.5270615785
16007,1.5192437542
16009,0.0
16011,8.9274969093
16013,6.7282634447
16015,-1.742160279
16017,-1.08469228
16019,10.32096605
16021,2.7726432532
16023,2.5031289111
16025,5.4545454545
16027,9.0005401363
16029,1.17517444
16031,10.394875887
16033,1.0881392818
16035,-2.559925529
16037,-1.155802127
16039,11.388740763
16041,8.2786629178
16043,7.5167785235
16045,2.4608366845
16047,3.9209279529
16049,-0.486233514
16051,13.634475205
16053,11.486096944
16055,3.2294993923
16057,5.6616940315
16059,-3.300749016
16061,1.3113034356
16063,7.889166827
16065,24.771734815
16067,5.9466290047
16069,-0.481366066
16071,2.8375502483
16073,5.3543998244
16075,5.1302463403
16077,8.4561178732
16079,-6.229055786
16081,11.633638963
16083,6.7539099904
16085,2.1906947632
16087,-2.975304969
17000,4.5684724064
17001,0.1042054336
17003,2.4189954803
17005,0.3403000312
17007,4.5797563644
17009,2.1783328493
17011,-1.33397132
17013,-1.594578433
17015,-3.228995058
17017,2.3654642224
17019,6.2575552869
17021,-1.040161803
17023,0.1848371892
