FIPStxt,year,rate_natural_increase_population
20095,2020,-2.504870582
20097,2020,2.4174053183
20099,2020,1.3156563101
20101,2020,-2.596559559
20103,2020,3.6874827724
20105,2020,-5.033557047
20107,2020,-3.183732156
20109,2020,7.8487334998
20111,2020,3.3987517858
20113,2020,-1.086385141
20115,2020,-2.940311673
20117,2020,1.8535681186
20119,2020,0.9838888206
20121,2020,2.8246094095
20123,2020,-4.963189677
20125,2020,-1.063829787
20127,2020,0.8946944618
20129,2020,4.5454545455
20131,2020,6.6810768324
20133,2020,0.6868131868
20135,2020,-7.933645871
20137,2020,-2.040816327
20139,2020,-2.446137925
20141,2020,1.4534883721
20143,2020,-3.142458101
20145,2020,-0.77000077
20147,2020,-2.854424358
20149,2020,6.2561738558
20151,2020,0.8646779075
20153,2020,5.1669316375
20155,2020,-0.466504195
20157,2020,-0.430663221
20159,2020,0.9463722397
20161,2020,6.6333655602
20163,2020,-4.236006051
20165,2020,0.3282994091
20167,2020,-3.488879198
20169,2020,3.3514100782
20171,2020,-0.205507604
20173,2020,4.2621555939
20175,2020,13.52411724
20177,2020,1.1407112504
20179,2020,3.9658933175
20181,2020,-0.338009126
20183,2020,0.5576467308
20185,2020,0.4808848281
20187,2020,4.4653932027
20189,2020,5.4441520733
20191,2020,-0.130847236
20193,2020,7.3610124621
20195,2020,-7.857142857
20197,2020,3.322979123
20199,2020,5.3209178583
20201,2020,-2.394988946
20203,2020,5.6724178681
20205,2020,-0.349019836
20207,2020,-1.581777918
20209,2020,6.373393802
21000,2020,1.656880759
21001,2020,-1.666623265
21003,2020,-0.141386055
21005,2020,1.8066449282
21007,2020,-2.770780856
21009,2020,0.8600787651
21011,2020,2.6459268762
21013,2020,-2.399131743
21015,2020,5.5822993649
21017,2020,-1.353247795
21019,2020,-2.212530582
21021,2020,-0.232782415
21023,2020,-0.36185996
21025,2020,-3.462249675
21027,2020,0.7845829451
21029,2020,1.5244183545
21031,2020,0.8586371087
21033,2020,-1.963633507
21035,2020,-1.231321747
21037,2020,2.7158804157
21039,2020,1.0527423939
21041,2020,1.4993206203
21043,2020,-0.965878485
21045,2020,-1.059685211
21047,2020,11.886125534
21049,2020,0.3312949491
21051,2020,-0.300082523
21053,2020,1.1782032401
21055,2020,-2.25963168
21057,2020,-5.560982941
21059,2020,2.5494826922
21061,2020,-2.786999467
21063,2020,-0.266382525
21065,2020,-3.397508494
21067,2020,4.4487265675
21069,2020,2.6147388702
21071,2020,-2.965657131
21073,2020,1.2967620245
21075,2020,-5.982550893
21077,2020,3.1755032606
21079,2020,0.397896831
21081,2020,4.5079187777
21083,2020,1.9306831132
21085,2020,-0.606980273
21087,2020,-2.734855736
21089,2020,-3.3792418
21091,2020,3.3218785796
21093,2020,4.257877299
21095,2020,-3.899157094
21097,2020,0.8495725588
21099,2020,4.4811134249
21101,2020,0.0220453694
21103,2020,0.9320533134
21105,2020,-6.355691749
21107,2020,-0.445881173
21109,2020,-1.047433787
21111,2020,2.4223739264
21113,2020,3.6895579947
21115,2020,-2.646986249
21117,2020,4.4105733745
21119,2020,-4.216585235
21121,2020,-1.088958283
21123,2020,1.1847928355
21125,2020,0.8396927712
